sample_id,Dam,Sire,F0_treat,F1_treat,mean_coverage,sd_coverage,mean_methylation_percent,sd_methylation_percent
N1010_N1,N10,N10,N,N,5.87,6.39,23.61,38.71
N1010_U2,N10,N10,N,U,7.43,29.49,23.1,38.41
N109_N2,N10,N9,N,N,5.24,5.83,23.13,38.66
N109_U2,N10,N9,N,U,5.85,15.94,23.14,38.7
N11_U2,N1,N1,N,U,7.69,10.34,23.91,38.56
N12_N2,N1,N2,N,N,6.27,9.27,23.55,38.63
N12_U2,N1,N2,N,U,6.48,9.57,23.89,38.73
N21_N1,N2,N1,N,N,4.32,11.99,23.43,39.12
N21_U2,N2,N1,N,U,4.9,5.86,23.89,39.28
N22_N2,N2,N2,N,N,3.17,18.89,22.9,39.63
N22_U1,N2,N2,N,U,4.33,19.38,22.81,39.22
N33_N1,N3,N3,N,N,4.2,4.35,23.74,39.38
N33_U1,N3,N3,N,U,4.86,5.12,23.95,39.31
N34_N1,N3,N4,N,N,4.27,4.43,23.9,39.49
N34_U1,N3,N4,N,U,6.63,7.13,23.8,38.84
N43_N2,N4,N3,N,N,4.48,4.77,23.52,39
N43_U2,N4,N3,N,U,5.37,5.94,23.66,38.87
N44_N2,N4,N4,N,N,5.17,5.97,23.54,38.78
N44_U1,N4,N4,N,U,6.46,7.55,23.89,38.79
N55_U1,N5,N5,N,U,4.7,4.77,23.74,39.15
N56_N1,N5,N6,N,N,7.28,9.51,23.08,38.03
N56_U1,N5,N6,N,U,6.41,10.82,23.59,38.7
N65_N1,N6,N5,N,N,4.14,4.33,23.58,39.12
N65_U2,N6,N5,N,U,5.7,6.81,23.88,38.9
N66_N2,N6,N6,N,N,5.47,5.82,23.42,38.57
N66_U1,N6,N6,N,U,5.31,5.98,23.88,38.98
N77_N1,N7,N7,N,N,4.97,10.76,23.35,38.94
N77_U2,N7,N7,N,U,4.68,5.18,23.99,39.43
N78_N2,N7,N8,N,N,5.47,9.87,22.89,38.36
N78_U2,N7,N8,N,U,7.42,9.81,23.87,38.58
N87_N2,N8,N7,N,N,4.65,4.92,23.67,39.15
N87_U1,N8,N7,N,U,5.65,5.9,23.68,38.79
N88_N2,N8,N8,N,N,5.89,6.03,23.41,38.34
N88_U2,N8,N8,N,U,7.23,7.38,23.94,38.45
N910_N1,N9,N10,N,N,4.54,4.54,23.25,38.84
N910_U2,N9,N10,N,U,6.5,20.62,22.95,38.32
N99_N1,N9,N9,N,N,5.13,4.99,23.34,38.63
N99_U1,N9,N9,N,U,4.57,12.38,22.89,38.93
U1010_N2,U10,U10,U,N,5.01,8.26,23.14,38.82
U1010_U1,U10,U10,U,U,7.6,8.08,23.84,38.66
U109_N2,U10,U9,U,N,6.46,6.79,23.9,38.8
U109_U1,U10,U9,U,U,6.19,6.25,23.72,38.93
U11_N1,U1,U1,U,N,6.83,7.84,23.82,38.9
U11_U2,U1,U1,U,U,5.26,7.64,23.93,39.35
U12_N2,U1,U2,U,N,5.86,6.75,22.05,38.55
U12_U2,U1,U2,U,U,6.46,10.82,23.2,38.62
U21_N2,U2,U1,U,N,7.21,8.03,23.78,38.58
U21_U1,U2,U1,U,U,5.28,5.84,24.03,39.31
U22_N1,U2,U2,U,N,7.02,9.15,23.39,38.39
U22_U2,U2,U2,U,U,4.6,5.02,23.85,39.35
U33_N2,U3,U3,U,N,8.09,9.05,23.37,37.96
U33_U1,U3,U3,U,U,6.19,12.88,23.35,38.5
U34_N2,U3,U4,U,N,6.83,7.22,23.57,38.31
U34_U2,U3,U4,U,U,5.08,6.38,23.34,38.83
U43_N2,U4,U3,U,N,7.68,7.98,23.72,38.36
U43_U1,U4,U3,U,U,6.96,12.94,23.3,38.35
U44_N2,U4,U4,U,N,6.01,5.62,23.84,38.75
U44_U1,U4,U4,U,U,6.26,9.87,23.48,38.69
U55_N2,U5,U5,U,N,7.34,11.28,22.9,37.68
U55_U1,U5,U5,U,U,6.11,6.79,23.47,38.57
U56_N1,U5,U6,U,N,5.58,11.18,22.71,38.17
U56_U1,U5,U6,U,U,8.24,8.92,23.57,38.12
U65_N2,U6,U5,U,N,4.83,4.96,23.3,38.64
U65_U2,U6,U5,U,U,4.93,5.15,23.52,38.86
U66_N2,U6,U6,U,N,8.82,9.59,23.43,37.71
U66_U1,U6,U6,U,U,7.14,11.82,23,38.11
U77_N2,U7,U7,U,N,2.65,8.11,21.73,38.99
U77_U1,U7,U7,U,U,7.89,8.98,23.64,38.38
U78_N1,U7,U8,U,N,6.43,8.89,23.24,38.4
U78_U1,U7,U8,U,U,4.28,4.82,23.53,39.25
U87_N2,U8,U7,U,N,8.38,11.21,23.53,38.18
U87_U1,U8,U7,U,U,6.45,7.4,23.8,38.78
U88_N2,U8,U8,U,N,5.38,6.93,23.51,38.82
U88_U2,U8,U8,U,U,6.12,6.83,23.64,38.8
U910_N1,U9,U10,U,N,7.61,8.34,23.76,38.43
U910_U1,U9,U10,U,U,5.21,5.56,24.05,39.23
U99_N2,U9,U9,U,N,8.32,9.43,23.87,38.47
U99_U1,U9,U9,U,U,8.01,8.81,24.08,38.7