ID,Dam,Sire,F0_env,F1_env
N11_N,DN1,SN1,N,N
N12_N,DN1,SN2,N,N
N21_N,DN2,SN1,N,N
N22_N,DN2,SN2,N,N
N33_N,DN3,SN3,N,N
N34_N,DN3,SN4,N,N
N43_N,DN4,SN3,N,N
N44_N,DN4,SN4,N,N
N56_N,DN5,SN6,N,N
N65_N,DN6,SN5,N,N
N66_N,DN6,SN6,N,N
N77_N,DN7,SN7,N,N
N78_N,DN7,SN8,N,N
N87_N,DN8,SN7,N,N
N88_N,DN8,SN8,N,N
N99_N,DN9,SN9,N,N
N910_N,DN9,SN10,N,N
N109_N,DN10,SN9,N,N
N1010_N,DN10,SN10,N,N
N11_U,DN1,SN1,N,U
N12_U,DN1,SN2,N,U
N21_U,DN2,SN1,N,U
N22_U,DN2,SN2,N,U
N33_U,DN3,SN3,N,U
N34_U,DN3,SN4,N,U
N43_U,DN4,SN3,N,U
N44_U,DN4,SN4,N,U
N55_U,DN5,SN5,N,U
N56_U,DN5,SN6,N,U
N65_U,DN6,SN5,N,U
N66_U,DN6,SN6,N,U
N77_U,DN7,SN7,N,U
N78_U,DN7,SN8,N,U
N87_U,DN8,SN7,N,U
N88_U,DN8,SN8,N,U
N99_U,DN9,SN9,N,U
N910_U,DN9,SN10,N,U
N109_U,DN10,SN9,N,U
N1010_U,DN10,SN10,N,U
U11_N,DU1,SU1,U,N
U12_N,DU1,SU2,U,N
U21_N,DU2,SU1,U,N
U22_N,DU2,SU2,U,N
U33_N,DU3,SU3,U,N
U34_N,DU3,SU4,U,N
U43_N,DU4,SU3,U,N
U44_N,DU4,SU4,U,N
U55_N,DU5,SU5,U,N
U56_N,DU5,SU6,U,N
U65_N,DU6,SU5,U,N
U66_N,DU6,SU6,U,N
U77_N,DU7,SU7,U,N
U78_N,DU7,SU8,U,N
U87_N,DU8,SU7,U,N
U88_N,DU8,SU8,U,N
U99_N,DU9,SU9,U,N
U910_N,DU9,SU10,U,N
U109_N,DU10,SU9,U,N
U1010_N,DU10,SU10,U,N
U11_U,DU1,SU1,U,U
U12_U,DU1,SU2,U,U
U21_U,DU2,SU1,U,U
U22_U,DU2,SU2,U,U
U33_U,DU3,SU3,U,U
U34_U,DU3,SU4,U,U
U43_U,DU4,SU3,U,U
U44_U,DU4,SU4,U,U
U55_U,DU5,SU5,U,U
U56_U,DU5,SU6,U,U
U65_U,DU6,SU5,U,U
U66_U,DU6,SU6,U,U
U77_U,DU7,SU7,U,U
U78_U,DU7,SU8,U,U
U87_U,DU8,SU7,U,U
U88_U,DU8,SU8,U,U
U99_U,DU9,SU9,U,U
U910_U,DU9,SU10,U,U
U109_U,DU10,SU9,U,U
U1010_U,DU10,SU10,U,U